kab_id,commodity_code,role,volume_tons,price_idr_per_kg,harvest_age_days
3518,bawang_merah,SURPLUS,190610.19,24375,3
3513,bawang_merah,SURPLUS,54731.07,24375,3
3507,bawang_merah,SURPLUS,43099.14,24375,3
3527,bawang_merah,SURPLUS,36718.19,24375,3
3522,bawang_merah,SURPLUS,29217.26,24375,3
3528,bawang_merah,SURPLUS,15973.06,24375,3
3529,bawang_merah,SURPLUS,8116.22,24375,3
3506,bawang_merah,SURPLUS,7951.7,24375,3
3574,bawang_merah,SURPLUS,5364.46,24375,3
3579,bawang_merah,SURPLUS,3862.29,24375,3
3516,bawang_merah,SURPLUS,3612.04,24375,3
3512,bawang_merah,SURPLUS,2438.33,24375,3
3521,bawang_merah,SURPLUS,1544.35,24375,3
3520,bawang_merah,SURPLUS,1510.49,24375,3
3505,bawang_merah,SURPLUS,1160.27,24375,3
3510,bawang_merah,SURPLUS,644.35,24375,3
3519,bawang_merah,SURPLUS,72.82,24375,3
3578,bawang_merah,DEFICIT,8724.86,32500,0
3509,bawang_merah,DEFICIT,7310.28,32500,0
3515,bawang_merah,DEFICIT,6110.28,32500,0
3525,bawang_merah,DEFICIT,3924.38,32500,0
3514,bawang_merah,DEFICIT,3655.46,32500,0
3524,bawang_merah,DEFICIT,3602.64,32500,0
3517,bawang_merah,DEFICIT,3296.88,32500,0
3526,bawang_merah,DEFICIT,3282.74,32500,0
3508,bawang_merah,DEFICIT,3127.57,32500,0
3573,bawang_merah,DEFICIT,2558.69,32500,0
3511,bawang_merah,DEFICIT,1955.81,32500,0
3501,bawang_merah,DEFICIT,1722.98,32500,0
3503,bawang_merah,DEFICIT,1687.46,32500,0
3523,bawang_merah,DEFICIT,1585.06,32500,0
3504,bawang_merah,DEFICIT,1526.04,32500,0
3571,bawang_merah,DEFICIT,819.1,32500,0
3575,bawang_merah,DEFICIT,639.57,32500,0
3577,bawang_merah,DEFICIT,600.96,32500,0
3572,bawang_merah,DEFICIT,459.53,32500,0
3576,bawang_merah,DEFICIT,406.27,32500,0
3502,bawang_merah,DEFICIT,78.0,32500,0
3578,bawang_putih,DEFICIT,5820.64,20750,0
3507,bawang_putih,DEFICIT,5232.37,20750,0
3509,bawang_putih,DEFICIT,5176.52,20750,0
3515,bawang_putih,DEFICIT,4240.46,20750,0
3510,bawang_putih,DEFICIT,3395.27,20750,0
3506,bawang_putih,DEFICIT,3338.54,20750,0
3514,bawang_putih,DEFICIT,3210.47,20750,0
3524,bawang_putih,DEFICIT,2764.96,20750,0
3517,bawang_putih,DEFICIT,2693.32,20750,0
3525,bawang_putih,DEFICIT,2686.65,20750,0
3522,bawang_putih,DEFICIT,2651.29,20750,0
3505,bawang_putih,DEFICIT,2500.49,20750,0
3523,bawang_putih,DEFICIT,2438.44,20750,0
3508,bawang_putih,DEFICIT,2292.65,20750,0
3529,bawang_putih,DEFICIT,2291.45,20750,0
3518,bawang_putih,DEFICIT,2251.94,20750,0
3504,bawang_putih,DEFICIT,2228.36,20750,0
3526,bawang_putih,DEFICIT,2190.63,20750,0
3513,bawang_putih,DEFICIT,2083.29,20750,0
3516,bawang_putih,DEFICIT,2073.31,20750,0
3527,bawang_putih,DEFICIT,1984.07,20750,0
3502,bawang_putih,DEFICIT,1934.43,20750,0
3521,bawang_putih,DEFICIT,1768.9,20750,0
3528,bawang_putih,DEFICIT,1729.36,20750,0
3573,bawang_putih,DEFICIT,1705.79,20750,0
3511,bawang_putih,DEFICIT,1575.34,20750,0
3519,bawang_putih,DEFICIT,1527.45,20750,0
3503,bawang_putih,DEFICIT,1491.17,20750,0
3512,bawang_putih,DEFICIT,1393.58,20750,0
3520,bawang_putih,DEFICIT,1367.54,20750,0
3501,bawang_putih,DEFICIT,1189.92,20750,0
3571,bawang_putih,DEFICIT,583.47,20750,0
3574,bawang_putih,DEFICIT,490.29,20750,0
3575,bawang_putih,DEFICIT,426.38,20750,0
3577,bawang_putih,DEFICIT,401.57,20750,0
3579,bawang_putih,DEFICIT,396.34,20750,0
3572,bawang_putih,DEFICIT,306.35,20750,0
3576,bawang_putih,DEFICIT,270.85,20750,0
